A_id,A_statement,Best_B_id,Best_B_statement,cosine_similarity
A216,Emerson School 111 North Montana Butte,B196,Emerson Elementary School 1924 Phillips Ave Butte,0.8085516
A109,Bear Paw School 29815 Clear Creek Road Chinook,B119,Chinook 6-8 School Po Box 1059 Chinook,0.80840385
A262,Frank Brattin Middle Schl PO Box 159 Colstrip,B228,Frank Brattin Middle School 216 Olive Dr Colstrip,0.8082085
A741,Springhill School 6020 Springhill Comm Road Belgrade,B37,Belgrade High School 303 N Hoffman St Belgrade,0.8081863
A704,Roy School Box 9 Roy,B552,Roy 6-8 School Po Box 9 Roy,0.8079431
A15,Four Georgians School 1325 Poplar Street Helena,B300,Helena Flats 7-8 School 1000 Helena Flats Rd Kalispell,0.8078072
A65,227 Academy- HS PO Box 1280 East Helena,B302,Helena High School 1300 Billings Ave Helena,0.8076795
A105,Baker High School Box 659 Baker,B29,Baker High School 1015 S 3rd West Baker,0.8060854
A94,Augusta 7-8 PO Box 307 Augusta,B19,Augusta 7-8 School Po Box 307 Augusta,0.80579305
A445,Crow Agency School 401 Park Road Hardin,B282,Hardin Primary School 314 3rd St W Hardin,0.80558485
A787,Troy High School Box 867 Troy,B645,Troy High School 116 E. Missoula Ave Troy,0.8042871
A33,Noxon 7-8 300 Noxon Ave Noxon,B468,Noxon 7-8 School 300 Noxon Ave. Noxon,0.8037642
A86,Anderson School 10040 Cottonwood Road Bozeman,B447,Monforton School (Grades 3-5) 6001 Monforton School Rd Bozeman,0.8027555
A676,Rapelje 7-8 PO Box 89 Rapelje,B519,"Rapelje 7-8 School Po Box 89, 714 Main Street Rapelje",0.80272305
A398,Irle Elementary School Box 28 Glasgow,B264,Glasgow Middle School 11 Laser Drive Glasgow,0.80260605
A96,Auchard Creek School 9605 Hwy 287 Wolf Creek,B714,Wolf Point High School 213 6th Ave S Wolf Point,0.80253917
A302,Dawson High School Box 701 Glendive,B155,Dawson County High School 900 N Merrill Ave Glendive,0.80235565
A644,Plains Elementary School Box 549 Plains,B489,Plains Elementary School 412 Rittenour St Plains,0.8023078
A752,Big Stone School 693 Stockett Rd Box 100 Sand Coulee,B105,Centerville Elementary School 693 Stockett Rd Sand Coulee,0.80214334
A788,Turner School Box 40 Turner,B646,Turner 7-8 School Po Box 40 Turner,0.80166614
A557,Lincoln 7-8 PO Box 39 Lincoln,B386,Lincoln 7-8 School Po Box 39 Lincoln,0.8016087
A104,Longfellow School Box 659 Baker,B409,Longfellow School 115 West Lincoln Street Baker,0.80158174
A815,Whitefish Middle 5-8 600 East Second Street Whitefish,B690,Whitefish Central 7-8 School 600 2nd St E Whitefish,0.80151534
A308,Deer Park 6-8 2105 Middle Road Columbia Falls,B158,Deer Park 6-8 School 2105 Middle Rd Columbia Falls,0.8009746
A196,Bridger 7-8 429 W. Park Ave Bridger,B69,Bridger 7-8 School 429 West Park Avenue Bridger,0.8007764
A572,Malta 6-7-8 PO Box 670 Malta,B417,Malta 6-8 School Po Box 670 Malta,0.8007276
A327,East Glacier Park School Box 150 E Glacier Park,B676,West Glacier Elementary School 160 Old Bridge Rd West Glacier,0.79911745
A508,Judith Gap 7-8 PO Box 67 Judith Gap,B356,Judith Gap High School Po Box 67 Judith Gap,0.79905665
A790,Turner High School Box 40 Turner,B648,Turner High School Po Box 40 Turner,0.79903823
A103,Lincoln School Box 659 Baker,B393,Lincoln High School Po Box 39 Lincoln,0.7982247
A521,Kester School 2031 Haxby Road Jordan,B353,Jordan Elementary School School Street Jordan,0.797704
A547,Lewistown 7-8 215 7th Avenue South Lewistown,B381,Lewistown 7-8 School 914 W Main St Lewistown,0.7974965
A772,Terry High School Box 187 Terry,B634,Terry High School 215 E Park Terry,0.79749167
A174,Bonner 6-8 PO Box 1004 Bonner,B62,Bonner School Po Box 1004 Bonner,0.79724526
A775,Thompson Falls 7-8 206 Haley Ave Thompson Falls,B635,Thompson Falls Elem School Columbia & Haley Streets Thompson Falls,0.79694444
A386,Gardiner 7-8 510 Stone Street Gardiner,B245,Gardiner 7-8 School Po Box 26 Gardiner,0.79612285
A536,Fred W Graff School 410 Colorado Avenue Laurel,B371,Laurel High School 203 E 8th St Laurel,0.7959392
A321,Dodson High School Box 278 Dodson,B168,Dodson 7-8 School Po Box 278 Dodson,0.795919
A287,Creston School 4495 Montana 35 Kalispell,B678,West Valley Middle School 2290 Farm To Market Rd Kalispell,0.7957181
A192,Gallatin High School PO Box 520 Bozeman,B244,Gallatin Gateway School 100 Mill Street Gallatin Gtwy,0.7950511
A792,Twin Bridges High School Box 419 Twin Bridges,B650,Twin Bridges High School 216 W 6th Twin Bridges,0.79484
A696,K William Harvey Elem 421 Andrew Street NW Ronan,B357,K William Harvey Elem School 221 4th Avenue Nw Ronan,0.7943968
A59,Lone Peak High School PO Box 161280 Big Sky,B405,Lone Peak High School 45465 Gallatin Road Gallatin Gateway,0.79427445
A390,Sand Springs School 160 Twin Buttes Road Sand Springs,B333,Hot Springs Elementary School 325 Broadway Hot Springs,0.7939118
A230,Vaughn Elementary PO Box 279 Vaughn,B662,Vaughn 6-8 School 480 Central Ave Vaughn,0.79322493
A468,Hays-Lodge Pole 7-8 PO Box 110 Hays,B294,Hays-Lodge Pole 7-8 197 Thunderbird Ln Hays,0.79280305
A525,Kircher School 331 Kircher Creek Rd Miles City,B315,Highland Park Elementary Sch 716 Cale Ave Miles City,0.7927631
A286,Cottonwood School 13233 Cottonwood Road Bozeman,B447,Monforton School (Grades 3-5) 6001 Monforton School Rd Bozeman,0.7924281
A250,Choteau 7-8 204 7th Ave NW Choteau,B122,Choteau Elementary School 102 Seventh Avenue Nw Choteau,0.79172295
A259,Clinton 7-8 PO Box 250 Clinton,B127,Clinton  7-8 School Po Box 250 Clinton,0.7909459
A253,Redwater School Box 99 Circle,B525,Redwater Elementary School 100 Meridian Circle Circle,0.79052866
A331,Elder Grove 7-8 1532 South 64 Street W Billings,B191,Elder Grove 7-8 School 1532 S 64th St W Billings,0.79002154
A133,Bigfork High School PO Box 188 Bigfork,B44,"Big Sandy High School Po Box 570, 398 First Ave Big Sandy",0.78966033
A833,Winnett High School Box 167 Winnett,B710,Winnett 7-8 School Po Box 167 Winnett,0.789041
A630,Opheim School Box 108 Opheim,B474,"Opheim High School 100 Rock Street, Po Box 108 Opheim",0.7889799
A813,Westby 7-8 PO Box 109 Westby,B683,Westby 7-8 School Po Box 108 Westby,0.7886677
A234,Cascade 6-8 PO Box 529 Cascade,B96,Cascade 6-8 School Po Box 307 Cascade,0.78842556
A728,Shepherd High School Box 8 Shepherd,B590,Shepherd Middle School Po Box 8 Shepherd,0.7875645
A745,Stanford School Box 506 Stanford,B617,Stanford High School Po Box 506 Stanford,0.7870868
A381,Frontier 7-8 6996 Roy St. Wolf Point,B240,Frontier 7-8 School Po Box 3043 Wolf Point,0.78703225
A199,Broadview 7-8 PO Box 147 Broadview,B74,Broadview 7-8 School Po Box 106 Broadview,0.7858108
A123,Benton Lake School 17557 Bootlegger Trail Floweree,B224,Fort Benton Elementary School 1406 Franklin St Fort Benton,0.78440416
A661,Poplar School Box 458 Poplar,B502,Poplar 7-8 School 400 4th Avenue West Poplar,0.7843779
A793,Twin Bridges Middle School Box 419 Twin Bridges,B650,Twin Bridges High School 216 W 6th Twin Bridges,0.7838639
A849,Yellowstone Academy Elem 1750 Ray of Hope Lane Billings,B566,Saint Francis Intermediate School 1734 Yellowstone Avenue Billings,0.78348285
A796,Ulm Junior High PO Box 189 Ulm,B653,Ulm Elementary School A.K.A. Ulm School 6 Ulm-Vaughn Rd Ulm,0.78272176
A98,Ayers School Box 100 Grass Range,B269,Grass Range 7-8 School Po Box 58 Grass Range,0.7825792
A727,Shepherd Middle School Box 8 Shepherd,B590,Shepherd Middle School Po Box 8 Shepherd,0.78230643
A774,Thompson Falls Elem Schl 206 Haley Ave Thompson Falls,B635,Thompson Falls Elem School Columbia & Haley Streets Thompson Falls,0.782109
A642,Pine Grove School 3646 Brusett Road Brusett,B129,Colstrip High School 5001 Pinebutte Dr Colstrip,0.78096414
A120,Pleasant Valley School PO Box 197 Belt,B40,"Belt High School Po Box 197, 1 Church St Belt",0.78060794
A780,Riverview School 735 Road 664 Miles City,B390,Lincoln Elementary School 210 S Lake Ave Miles City,0.7784772
A273,Utterback 7-8 215 South Maryland St Conrad,B655,Utterback 4-6 School 24 2nd Ave Sw Conrad,0.7782947
A563,Lodge Grass High School PO Box 810 Lodge Grass,B631,Sweet Grass Co High School Po Box 886 Big Timber,0.777841
A29,South Stacey School 124 Stacey Road Volborg,B170,Dodson High School 127 First Ave W Dodson,0.7776623
A177,Box Elder School Box 205 Box Elder,B66,Box Elder 7-8 School Po Box 205 Box Elder,0.77760154
A626,Nashua 6-8 PO Box 170 Nashua,B461,Nashua School Po Box 170 Nashua,0.7775789
A645,Plains High School Box 549 Plains,B488,Plains 7-8 Po Box 549 Plains,0.77720237
A108,Smith Valley 7-8 2901 Highway 2 West Kalispell,B679,West Valley School 2290 Farm To Market Rd Kalispell,0.7759112
A662,Poplar 5-6 School Box 458 Poplar,B502,Poplar 7-8 School 400 4th Avenue West Poplar,0.7751597
A688,Richey High School Box 60 Richey,B531,"Richey High School Po Box 60, 202 Royal Ave Richey",0.77173495
